#DataThief /Users/ahmus18/Desktop/racd.png Tuesday 27-Feb-2024 12:32:02 pm
1.0163, 223.1769
0.0383, 227.837
2.0225, 224.5993
3.0583, 223.2151
4.0795, 221.8307
5.0853, 225.5922
6.1214, 222.3368
7.1278, 222.8234
8.1635, 221.9072
9.184, 225.2011
10.2048, 226.1559
11.2115, 224.7711
12.2476, 221.5157
13.2535, 224.3416
14.2748, 222.4894
15.2952, 226.7189
16.3165, 224.3989
17.3376, 223.9502
18.3733, 223.0339
19.38, 221.6492
20.4008, 223.0718
21.4072, 223.0907
22.4284, 221.7063
23.4487, 225.468
24.47, 224.0836
25.4913, 222.2314
26.5112, 228.8002
27.5331, 223.6731
28.5544, 221.8209
29.575, 224.647
30.6104, 225.6021
31.6171, 223.7496
32.6528, 223.3011
33.659, 224.2556
34.6657, 222.4031
35.6864, 224.7614
36.7221, 223.8451
37.7277, 229.0101
38.7494, 224.8187
39.7708, 222.0308
40.7911, 226.7283
41.7978, 224.8757
42.8333, 225.363
43.8544, 224.9142
44.8759, 221.6585
45.8963, 225.4203
46.9175, 224.0359
47.9376, 230.1368
48.9596, 223.6063
49.922, 225.4956
